City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Wind deg,Sunrise,Sunset,Visibility,Temp
port elizabeth,-33.918,25.5701,64.4,94.0,40.0,5.75,ZA,1612034977.0,240.0,1611977838.0,1612027474.0,10000.0,64.4
bluff,-46.6,168.3333,48.0,80.0,97.0,8.01,NZ,1612034978.0,220.0,1612028215.0,1612081383.0,10000.0,48.0
hithadhoo,-0.6,73.0833,82.58,76.0,4.0,14.43,MV,1612034979.0,351.0,1612055808.0,1612099516.0,10000.0,82.58
tuktoyaktuk,69.4541,-133.0374,-36.4,74.0,40.0,0.87,CA,1612034979.0,172.0,1612031829.0,1612049624.0,10000.0,-36.4
tiarei,-17.5333,-149.3333,84.2,65.0,75.0,6.91,PF,1612034980.0,20.0,1612021447.0,1612067829.0,10000.0,84.09
cape town,-33.9258,18.4232,72.0,68.0,20.0,9.22,ZA,1612034918.0,210.0,1611979554.0,1612029190.0,10000.0,69.94
sungaipenuh,-2.0833,101.3833,64.31,94.0,99.0,3.24,ID,1612034981.0,40.0,1612048903.0,1612092835.0,10000.0,64.31
tsalka,41.5946,44.0891,28.24,89.0,6.0,6.93,GE,1612034981.0,242.0,1611980254.0,1612016168.0,10000.0,28.24
coquimbo,-29.9533,-71.3436,66.2,82.0,75.0,13.8,CL,1612034959.0,280.0,1612001553.0,1612050284.0,10000.0,66.2
mount gambier,-37.8333,140.7667,50.0,93.0,2.0,2.73,AU,1612034982.0,152.0,1612036155.0,1612086677.0,10000.0,50.0
maoming,21.65,110.9,60.4,87.0,31.0,8.68,CN,1612034983.0,81.0,1612048474.0,1612088695.0,10000.0,60.4
new norfolk,-42.7826,147.0587,51.01,71.0,22.0,1.01,AU,1612034983.0,278.0,1612033952.0,1612085860.0,10000.0,50.18
cortez,37.3489,-108.5859,37.4,60.0,75.0,9.22,US,1612034983.0,270.0,1612016332.0,1612053383.0,10000.0,33.76
bubaque,11.2833,-15.8333,79.57,66.0,47.0,12.8,GW,1612034984.0,226.0,1611991651.0,1612033537.0,10000.0,79.57
naryan-mar,67.6713,53.087,4.19,94.0,100.0,12.88,RU,1612034984.0,140.0,1611985790.0,1612006313.0,257.0,4.19
maryville,35.7565,-83.9705,37.4,69.0,90.0,4.43,US,1612034985.0,243.0,1612010242.0,1612047657.0,10000.0,35.37
husavik,66.0449,-17.3389,17.6,67.0,90.0,3.44,IS,1612034985.0,0.0,1612001563.0,1612024348.0,10000.0,17.6
eyl,7.9803,49.8164,73.22,76.0,28.0,14.29,SO,1612034986.0,53.0,1611975638.0,1612018035.0,10000.0,73.22
luderitz,-26.6481,15.1594,70.79,53.0,0.0,27.16,NA,1612034994.0,174.0,1611981118.0,1612029192.0,10000.0,70.79
bondeno,44.8862,11.4108,44.01,100.0,75.0,5.75,IT,1612034996.0,30.0,1611988568.0,1612023542.0,4000.0,43.59
talnakh,69.4865,88.3972,-31.13,71.0,0.0,6.04,RU,1612034996.0,128.0,1612064996.0,1612082976.0,10000.0,-31.13
busselton,-33.65,115.3333,64.0,72.0,0.0,1.01,AU,1612034997.0,87.0,1612042772.0,1612092270.0,10000.0,62.91
ventnor city,39.3404,-74.4774,37.0,29.0,1.0,6.91,US,1612034997.0,0.0,1612008396.0,1612044945.0,10000.0,34.48
richards bay,-28.783,32.0377,76.21,82.0,100.0,5.01,ZA,1612034894.0,64.0,1611976849.0,1612025359.0,10000.0,76.21
shubarshi,48.5872,57.1869,18.1,94.0,100.0,6.24,KZ,1612034999.0,47.0,1612064526.0,1612098429.0,10000.0,18.1
iqaluit,63.7506,-68.5145,-7.01,71.0,20.0,18.41,CA,1612035000.0,340.0,1612012607.0,1612037872.0,10000.0,-7.29
greece,43.2098,-77.6931,24.01,73.0,100.0,1.01,US,1612035001.0,287.0,1612009689.0,1612045196.0,9228.0,23.76
ozernovskiy,51.5,156.5167,12.07,95.0,100.0,7.9,RU,1612035001.0,26.0,1612041257.0,1612074014.0,679.0,12.07
parrita,9.5201,-84.3225,80.6,53.0,20.0,20.71,CR,1612035003.0,70.0,1612007951.0,1612050117.0,10000.0,76.08
saint-augustin,51.226,-58.6502,30.52,94.0,87.0,11.36,CA,1612035004.0,334.0,1612006477.0,1612039266.0,10000.0,30.52
mosalsk,54.4881,34.9817,20.39,97.0,100.0,6.38,RU,1612035005.0,187.0,1611984744.0,1612016051.0,4053.0,20.39
avera,33.194,-82.5271,50.0,40.0,1.0,11.5,US,1612035006.0,140.0,1612009611.0,1612047594.0,10000.0,48.38
nouadhibou,20.931,-17.0347,73.4,56.0,66.0,10.36,MR,1612035007.0,340.0,1611992729.0,1612033037.0,7000.0,73.4
